label,message
ham,"Hey, are we still meeting today?"
spam,"Congratulations! You won a free lottery ticket!"
ham,"Can you send me the project report?"
spam,"Claim your FREE prize now by clicking this link!"
ham,"Don't forget to bring your laptop tomorrow."
spam,"You have won $1000! Call now to claim your reward."
ham,"What time are you coming home?"
spam,"URGENT! You have been selected for a cash reward!"
ham,"Your appointment is scheduled for tomorrow."
spam,"Get a free iPhone by entering your details now!"
ham,"Can you call me when you are free?"
spam,"Congratulations! You are the lucky winner of a free vacation!"
ham,"The meeting has been moved to 3 PM."
spam,"Win money instantly! Click here to claim your prize."
ham,"Please submit your assignment before Friday."
spam,"You have been chosen for an exclusive cash prize!"
