title,description
Interstellar,"A team of astronauts travels through a wormhole in space to find a new home for humanity."
Inception,"A skilled thief enters people's dreams to steal secrets and is given a dangerous mission involving dream manipulation."
The Matrix,"A computer programmer discovers that reality is a simulated world controlled by machines."
The Martian,"An astronaut becomes stranded on Mars and must use science and engineering to survive."
Gravity,"Two astronauts struggle to survive after their spacecraft is destroyed in orbit."
Avengers Endgame,"Superheroes unite to defeat a powerful enemy and restore the universe after a devastating battle."
Iron Man,"A billionaire engineer builds an advanced armored suit and becomes a superhero."
Spider-Man,"A young man gains extraordinary abilities and learns that great power comes with great responsibility."
The Dark Knight,"A superhero faces a dangerous criminal mastermind who creates chaos across a city."
Batman Begins,"A wealthy man trains himself to fight crime and becomes a masked superhero."
Jurassic Park,"Scientists create dinosaurs using genetic engineering, but the creatures escape and threaten the visitors."
Titanic,"A young couple from different social classes fall in love aboard a doomed ocean liner."
